Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
47.368,0.98,0.75,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.99,1
47.701,0.98,0.65,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.27,0,0.11,0,0.96,1
48.035,0.98,0.48,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.16,0,0,0,0,0,0.02,0,0.46,1,1.12,1
48.368,0.98,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.16,0,0.16,1,1.17,1
48.702,0.98,1.06,1,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.07,0,0.01,0,0.37,1
49.035,0.98,1.65,1,0,0,0.04,1,0.36,0,0.09,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0.02,0,0.44,0,0.02,0
49.369,0.98,1.61,1,0,0,0.21,1,0.39,0,0.06,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0.15,0,0.43,0,0,0
49.703,0.98,1.46,1,0,0,0,1,0.19,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0.05,0,0.4,0,0.13,0
50.036,0.98,1.65,1,0,0,0.1,1,0.36,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0.31,0,0,0
50.37,0.98,1.47,1,0,0,0.03,1,0.29,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.11,0,0,0
50.703,0.98,1.75,1,0,0,0,1,0.35,0,0.02,0,0,0,0.14,0,0.11,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.02,0,0.13,0,0,0
51.037,0.98,1.74,1,0,0,0.26,1,0.42,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0.05,0,0.47,0,0,0
51.371,0.98,1.54,1,0,0,0,1,0.34,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.31,0,0,0
51.704,0.98,2.16,1,0,0,0.1,1,0.72,0,0.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0.56,0,0,0,0,0,0.48,0,0.57,0,0,0
52.038,0.98,2.1,1,0,0,0,0,1.63,0,0.48,0,0,0,1.47,1,0.22,0,0.1,0,0,0,0.17,1,3,1,0,0,0,0,2.38,0,0.84,0,0,0
52.371,0.98,2.01,1,0,0,0,0,1.95,1,0.59,0,0,0,1.75,1,0.23,0,0.04,0,0,0,0.3,1,3.37,1,0,0,0,0,2.57,0,0.69,0,0,0
52.705,0.98,2.05,1,0,0,0,0,1.95,1,0.57,0,0,0,1.87,1,0.65,0,0.13,0,0,0,0.37,1,3.49,1,0,0,0,0,2.52,0,1,0,0,0
53.038,0.98,2.23,1,0,0,0,0,1.73,1,0.63,0,0,0,1.36,1,0.23,0,0,0,0,0,0.08,1,3.03,1,0,0,0,0,2.82,0,0.7,0,0,0
53.372,0.98,2.22,1,0,0,0,0,1.8,1,0.61,0,0,0,1.62,1,0.53,0,0.14,0,0,0,0.06,1,3.25,1,0.01,0,0,0,2.51,0,0.66,0,0,0
53.706,0.98,2.12,1,0,0,0,0,1.83,0,0.57,0,0,0,1.61,1,0.53,0,0,0,0,0,0.25,1,3.24,1,0,0,0,0,2.24,0,0.45,0,0,0
54.039,0.98,2.13,1,0,0,0,0,1.58,0,0.62,0,0,0,1.65,1,0.53,0,0,0,0,0,0.37,1,3.58,1,0,0,0,0,2.35,0,0.65,0,0,0
54.373,0.98,2.15,1,0,0,0,0,1.66,0,0.44,0,0,0,1.35,1,0.27,0,0,0,0,0,0.11,1,2.71,1,0,0,0,0,2.35,0,0.49,0,0.03,0
54.706,0.98,2.3,1,0,0,0,0,2.24,1,0.51,0,0,0,1.4,1,0.36,0,0,0,0,0,0.02,1,2.95,1,0,0,0,0,2.4,0,0.35,0,0.09,0
55.04,0.98,2.44,1,0,0,0,0,1.85,0,0.45,0,0,0,1.04,0,0.14,0,0.03,0,0,0,0,1,2.4,1,0,0,0,0,2.09,0,0.18,0,0.06,0
55.373,0.98,2.12,1,0,0,0,0,1.94,0,0.37,0,0,0,0.04,0,0,0,0.15,1,0,0,0,1,1.7,0,0,0,0,0,1.41,0,0.11,0,0.04,1
55.707,0.98,2.24,1,0,0,0,0,1.87,0,0.4,0,0,0,0.09,0,0,0,0.08,1,0,0,0,1,1.87,0,0,0,0,0,1.62,0,0.1,0,0.14,1
56.041,0.98,2.29,1,0,0,0,0,2.08,0,0.51,0,0,0,0.45,0,0,0,0,0,0,0,0,1,2.36,1,0,0,0,0,1.98,0,0.11,0,0.29,1
56.374,0.98,2.23,1,0,0,0,0,1.77,0,0.43,0,0,0,0.59,1,0,0,0,0,0,0,0,1,2.04,0,0,0,0,0,1.93,0,0.32,0,0.18,1
56.708,0.98,2.14,1,0,0,0,0,1.86,0,0.39,0,0,0,0.83,1,0.12,0,0,0,0,0,0,1,1.81,0,0,0,0,0,2.2,0,0.4,0,0.43,0
57.041,0.93,2.23,1,0,0,0,0,2.17,1,0.49,0,0,0,1.01,1,0.13,0,0.01,0,0,0,0,1,2.55,1,0,0,0,0,2.38,0,0.35,0,0.26,0
57.375,0.93,2.16,1,0,0,0,0,1.84,0,0.56,0,0,0,1.26,1,0.03,0,0.03,0,0,0,0.18,1,3.12,1,0,0,0,0,2.34,0,0.44,0,0,0
57.708,0.98,2.34,1,0,0,0.05,0,2.02,1,0.63,0,0,0,1.3,1,0.47,0,0.2,0,0,0,0.12,1,3.15,1,0,0,0,0,2.28,0,0.62,0,0,0
58.042,0.93,2.41,1,0,0,0.1,0,1.96,0,0.49,0,0,0,1.42,1,0.28,0,0.09,0,0,0,0.04,1,2.81,1,0,0,0,0,2.43,0,0.42,0,0,0
58.376,0.98,1.91,1,0,0,0,0,1.57,0,0.31,0,0,0,0.22,0,0,0,1.06,1,0,0,0,1,1.91,0,0,0,0,0,1.69,0,0.57,0,0.34,0
58.709,0.98,1.3,1,0,0,0.13,1,1.25,0,0.18,0,0,0,0,0,0.06,0,0,1,0,0,0,1,0.25,0,0,0,0,0,1.06,0,0.35,0,0.46,1
59.043,0.98,0.77,0,0,0,0,0,0.22,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0.21,0,0.08,1
59.376,0.98,0.78,0,0,0,0,0,0.17,0,0.05,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.09,0,0.32,1
59.71,0.98,0.74,0,0,0,0,0,0.27,0,0.13,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.16,0,0.43,1
60.043,0.98,1.78,1,0,0,0.15,1,0.76,0,0.08,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0.55,0,0.75,0,0.14,1
60.377,0.98,2.38,1,0,0,0,0,1.68,0,0.52,0,0,0,1.17,1,0,0,0.14,0,0,0,0,1,2.68,1,0,0,0,0,2.05,0,0.57,0,0.1,0
60.711,0.93,2.41,1,0,0,0.01,1,1.47,0,0.48,0,0,0,1.24,1,0.12,0,0.12,0,0,0,0,1,2.45,1,0,0,0,0,1.8,0,0.64,0,0.12,0
61.044,0.93,2.35,1,0,0,0.01,1,1.92,0,0.45,0,0,0,0.92,0,0,0,0,0,0,0,0,1,2.09,0,0,0,0,0,1.79,0,0.72,0,0.04,0
61.378,0.93,2.33,1,0.03,0,0,1,1.6,0,0.26,0,0,0,0.55,0,0,0,0.35,0,0,0,0,1,2.22,1,0,0,0,0,1.56,0,0.81,0,0.49,1
61.711,0.93,2.37,1,0,0,0,1,1.8,0,0.25,0,0,0,0.59,0,0,0,0.05,0,0,0,0,1,2.57,1,0.01,0,0,0,1.69,0,0.78,0,0.29,1
62.045,0.93,2.4,1,0,0,0.01,1,1.52,0,0.28,0,0,0,0.75,0,0.06,0,0.21,0,0,0,0,1,2.46,1,0,0,0,0,1.56,0,0.85,0,0.36,1
62.378,0.98,1.64,1,0,0,0.07,1,0.82,0,0.07,0,0,0,0.04,0,0,0,0,1,0,0,0,0,1.62,1,0,0,0,0,0.26,0,1.06,0,0,1
62.712,0.98,1.21,1,0,0,0.03,1,0.9,0,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,1.47,1,0,0,0,0,0.02,0,0.54,0,0,1
63.046,0.98,1.36,1,0,0,0.15,1,0.91,0,0.07,0,0,0,0,0,0,0,0,1,0,0,0,0,1.38,0,0,0,0,0,0.01,0,0.72,0,0,1
63.379,0.98,2.21,1,0,0,0,1,1.06,0,0.15,0,0,0,0.12,0,0,0,0,1,0,0,0,1,1.69,0,0,0,0,0,0.47,0,0.73,0,0.12,1
63.713,0.98,2.2,1,0,0,0,0,1.91,0,0.34,0,0,0,0.65,0,0,0,0,0,0,0,0,1,2.83,1,0,0,0,0,1.47,0,0.63,0,0.28,1
64.046,0.98,2.15,1,0,0,0,1,1.2,0,0.36,0,0,0,0.45,0,0.08,0,0.04,1,0,0,0,1,1.92,0,0,0,0,0,1.4,0,0.48,0,0.09,1
64.38,0.98,2.04,1,0,0,0,1,1.13,0,0.26,0,0,0,0.05,0,0.12,0,0.03,1,0,0,0,1,1.52,0,0,0,0,0,0.7,0,0.31,0,0,1
64.714,0.98,0.91,1,0,0,0.09,1,1.03,1,0.67,0,0,0,0,0,0,0,0.23,1,0,0,0,0,0.01,0,0,0,0,0,2.27,1,0.73,1,0,1
65.047,0.98,0.12,0,0,0,0,0,0.51,0,0.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.07,1,0.01,1,0,0
65.381,0.98,0.24,0,0,0,0,0,0.04,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1,0.15,1,0.11,1
65.714,0.98,0.24,0,0,0,0,0,0.12,0,0.44,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,1.31,1,0.08,0,0.73,1
66.048,0.98,0.61,0,0,0,0,0,0.37,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,1,0.14,0,0,1
66.381,0.98,0.63,0,0,0,0,0,0.3,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,1,0.23,0,0.01,1
66.715,0.98,0.76,1,0,0,0,1,0.66,0,0.42,0,0,0,0,0,0,0,0.04,1,0,0,0,0,0,0,0,0,0,0,1.09,0,0.19,0,0,1
67.049,0.98,0.9,1,0,0,0.01,1,0.72,0,0.44,0,0,0,0,0,0,0,0.17,1,0,0,0,0,0,0,0,0,0,0,1.21,0,0.25,0,0,1
67.382,0.98,1.21,1,0,0,0,1,0.68,0,0.34,0,0,0,0,0,0,0,0.01,1,0,0,0,0,0,0,0,0,0,0,1.2,0,0.19,0,0,1
67.716,0.98,1.25,1,0,0,0.04,1,0.96,0,0.31,0,0,0,0,0,0,0,0,1,0,0,0,1,0.39,0,0,0,0,0,0.68,0,0.19,0,0,1
68.049,0.98,1.99,1,0,0,0,0,1.92,0,0.43,0,0,0,0.91,1,0.42,0,0.04,0,0,0,0.1,1,2.69,1,0,0,0,0,1.78,0,0.25,0,0.43,1
68.383,0.98,2.07,1,0,0,0.05,0,1.86,1,0.6,0,0,0,1.68,1,0.66,0,0.1,0,0,0,0.89,1,3.91,1,0,0,0,0,2.74,0,1.22,0,0,0
68.716,0.98,1.81,1,0,0,0,0,1.65,0,0.43,0,0,0,2.11,1,0.91,0,0,0,0,0,0.64,1,3.54,1,0,0,0,0,2.52,0,0.99,0,0,0
69.05,0.98,2.17,1,0,0,0,0,2.09,0,0.57,0,0,0,2.14,1,0.87,0,0.11,0,0,0,0.51,1,4.04,1,0.06,0,0,0,2.56,0,0.88,0,0,0
69.384,0.98,2,1,0,0,0,0,2.21,0,0.64,0,0,0,2.16,1,0.7,0,0,0,0,0,1.11,1,4.07,1,0,0,0,0,2.55,0,0.69,0,0,0
69.717,0.98,2.38,1,0,0,0.03,0,2.04,0,0.35,0,0,0,1.42,1,0.21,0,0,0,0,0,0.26,1,3.1,1,0,0,0,0,1.93,0,0.46,0,0.18,0
70.051,0.98,1.17,1,0,0,0.02,1,0.84,0,0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4,0,0,0,0,0,0.73,0,0.46,0,0,1
70.384,0.98,0.49,0,0,0,0,0,0.05,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.15,0,0.11,1
70.718,0.98,0.38,0,0,0,0.24,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.06,0,0,1
71.051,0.98,0.19,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.22,0,0.11,1
71.385,0.98,0.07,0,0,0,0.3,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.19,0,0,1
71.719,0.98,2.22,1,0,0,0,1,1.31,0,0.24,0,0,0,0.2,0,0.02,0,0.12,0,0,0,0,1,1.48,0,0,0,0,0,1.22,0,0.2,0,0.18,1
72.052,0.98,2.51,1,0,0,0.27,0,1.53,0,0.63,0,0,0,1.55,1,0.87,0,0.13,0,0,0,0.65,1,3.66,1,0,0,0,0,2.54,0,1.37,0,0,0
72.386,0.98,2.43,1,0,0,0.04,0,1.77,1,0.84,0,0,0,1.54,1,1,0,0.31,0,0,0,0.22,1,3.64,1,0,0,0,0,2.67,0,1.19,0,0,0
72.719,0.98,2.55,1,0,0,0.07,0,1.34,0,0.72,0,0,0,1.26,1,0.54,0,0.12,0,0,0,0.33,1,3.4,1,0,0,0,0,2.63,0,1.72,0,0,0
73.053,0.98,2.51,1,0,0,0.18,0,1.52,1,0.89,0,0,0,0.97,1,0.46,0,0.26,0,0,0,0.48,1,3.67,1,0.06,0,0,0,2.7,0,1.81,0,0,0
73.386,0.98,2.53,1,0,0,0.04,0,1.69,1,0.81,0,0,0,0.8,1,0.28,0,0.16,0,0,0,0.37,1,3.87,1,0.15,0,0,0,2.6,0,1.73,0,0,0
73.72,0.98,1.92,1,0,0,0.41,0,1.8,1,0.87,0,0,0,0.88,1,0.07,0,0,0,0,0,0.61,1,4.28,1,0.53,0,0.27,0,2.92,0,1.47,0,0,0
74.054,0.98,2.36,1,0,0,0.35,0,1.51,1,0.82,0,0,0,0.59,1,0,0,0.11,0,0,0,0.89,1,4.13,1,0.44,0,0.59,0,2.65,0,1.45,0,0,0
74.387,0.98,2.33,1,0,0,0.8,0,0.9,1,0.85,0,0,0,0.67,1,0.08,0,0.43,0,0,0,1.02,1,4.13,1,0.18,0,0.82,0,2.47,0,1.57,0,0,0
74.721,0.98,2.35,1,0,0,0.97,1,0.97,1,0.97,0,0,0,0.6,1,0.07,0,0.53,0,0,0,0.68,1,4.07,1,0.03,0,0.53,0,2.36,0,0.94,0,0,0
75.054,0.98,2.2,1,0,0,0.49,0,1.17,1,1.16,0,0,0,0.21,1,0.03,0,0.33,0,0,0,0.73,1,4.88,1,0,0,0.3,0,2.69,0,1.73,0,0,0
75.388,0.98,2.27,1,0,0,0.57,0,1.08,1,1.18,0,0,0,0.19,1,0.04,0,0.18,0,0,0,1.02,1,4.45,1,0.14,0,0.21,0,2.88,0,1.9,0,0,0
75.721,0.98,1.83,1,0.01,0,0.59,0,0.96,1,1.21,0,0,0,0.41,0,0,0,0.1,0,0,0,0.87,1,4.64,1,0,0,0.22,0,3.01,0,1.91,0,0,0
76.055,0.98,2.26,1,0,0,0.33,0,1.16,1,1.2,0,0,0,0.51,0,0,0,0.01,1,0,0,0.84,1,4.58,1,0.05,0,0.36,0,2.6,0,2.05,0,0,0
76.389,0.98,2.1,1,0,0,0.65,0,1.19,1,1.16,0,0,0,0.39,0,0,0,0,0,0,0,1.35,1,4.75,1,0,0,0.24,0,2.59,0,1.87,0,0,0
76.722,0.98,1.85,1,0,0,0.54,0,1.33,1,1.03,0,0,0,0.28,1,0,0,0.1,0,0,0,1.42,1,4.86,1,0,0,0.15,0,2.78,0,1.66,0,0,0
77.056,0.98,2.15,1,0,0,0.76,0,1.31,1,1,0,0,0,0.4,1,0,0,0.13,0,0,0,0.69,1,4.59,1,0.12,0,0.31,0,2.75,0,1.68,0,0,0
77.389,0.98,2.18,1,0,0,0.5,0,1.54,1,1.06,0,0,0,0.57,1,0,0,0.09,0,0,0,1.28,1,4.77,1,0.05,0,0.34,0,2.83,0,1.8,0,0,0
77.723,0.98,2.36,1,0,0,0.67,0,1.42,1,1.09,0,0,0,0.53,1,0.08,0,0,0,0,0,1.17,1,5,1,0.23,0,0.43,0,2.82,0,2.09,0,0,0
78.056,0.98,2.26,1,0,0,0.75,0,1.23,1,1.16,0,0,0,0.55,1,0,0,0.03,1,0,0,1.39,1,4.43,1,0.29,0,0.28,0,2.96,0,1.62,0,0,0
78.39,0.98,2.07,1,0,0,0.5,0,1.45,1,1.21,0,0,0,0.64,1,0.13,0,0.06,1,0,0,1.37,1,4.63,1,0.63,0,0.25,0,2.84,0,1.54,0,0,0
78.724,0.98,2.14,1,0,0,0.44,0,1.44,1,1.15,0,0,0,0.42,1,0.03,0,0.08,1,0,0,1.29,1,4.74,1,0.16,0,0.33,0,2.9,0,1.63,0,0,0
79.057,0.98,2.16,1,0,0,0.4,0,1.46,1,0.97,0,0,0,0.33,1,0.12,0,0.08,0,0,0,0.97,1,4.38,1,0.36,0,0.14,0,2.74,0,1.41,0,0,0
79.391,0.98,2.09,1,0,0,0.5,0,1.57,1,1.06,0,0,0,0.58,1,0.21,0,0.18,0,0,0,1.1,1,4.75,1,0.51,0,0.29,0,2.59,0,1.65,0,0,0
79.724,0.98,2.42,1,0.01,0,0.66,0,1.83,1,1.11,0,0,0,0.55,1,0,0,0.02,0,0,0,1.26,1,4.79,1,0.23,0,0.32,0,2.83,0,1.56,0,0,0
80.058,0.98,2.14,1,0,0,0.52,0,1.83,1,1.09,0,0,0,0.9,1,0,0,0.14,0,0,0,0.89,1,4.55,1,0.38,0,0.34,0,2.9,0,1.56,0,0,0
80.392,0.98,2.19,1,0,0,0.75,0,1.94,1,0.98,0,0,0,0.8,1,0.05,0,0.15,0,0,0,1.18,1,4.6,1,0.43,0,0.08,0,3.16,0,1.32,0,0,0
80.725,0.98,1.76,1,0.07,0,0.01,1,1.83,1,1.01,0,0,0,0.66,0,0,0,0,0,0,0,1.41,1,4.9,1,0.13,0,0.24,0,2.47,0,1.21,0,0,0
81.059,0.98,2.09,1,0.05,0,1.4,1,0.84,1,0.59,0,0,0,0,0,0,0,0,1,0,0,1.56,1,5,1,0.71,0,0.2,1,2.14,0,1.42,0,0,0
81.392,0.98,0,0,0.19,0,0,1,0.35,1,0.79,1,0,0,0,0,0,0,0.03,0,0,0,0.58,1,3.22,1,0.84,0,2.88,1,0.88,1,0,0,0,0
81.726,0.98,0.19,0,0.01,0,0.24,0,0.26,0,0.11,0,0,0,0,0,0,0,0.28,0,0,0,1.18,0,2.38,0,0.28,0,2.07,0,0.3,0,0,0,0,0
82.059,0.98,0,0,0.2,0,3.85,0,3.39,0,0.96,0,5,1,3.58,1,1.74,1,5,1,0,0,0,1,2.71,1,0,0,5,1,0,0,0.37,1,0,0
82.393,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.727,0.98,1.53,0,0,0,0,1,1.65,0,0.39,0,0,0,1.32,0,0.19,1,0,0,0,0,2.46,1,4.74,1,0.95,0,1.28,0,1.54,0,0.93,0,0,0
83.06,0.98,1.17,0,0,0,0,1,1.52,0,0.12,0,0,0,1.49,1,0.5,1,0,0,0,0,3.24,1,4.71,1,1.21,0,0.21,0,1.17,0,0.79,0,0,0
83.394,0.98,1.44,0,0,0,0,0,1.49,0,0.07,0,0,0,1.2,0,0.56,0,0,0,0,0,3.49,1,4.43,1,0.69,0,0.58,0,1.34,0,0.94,0,0,0
83.727,0.98,1.17,1,0,0,0.46,1,1.01,0,0,0,0,0,0.62,0,0,0,0.16,1,0,0,3.47,1,4.86,1,1.75,0,0.58,1,2.1,0,1.99,0,0,0
84.061,0.88,0,0,0,0,0.71,0,0.19,0,0,0,0.07,0,0,0,0,0,0.11,0,0.07,0,0.64,0,0.98,0,0,0,1.07,0,0.65,0,0.56,0,0.15,0
84.394,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.728,0.98,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0.27,0,3.74,0,3.25,1,1.39,0,1.24,0,3.46,1,0.09,0,0,0
85.062,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.395,0.52,0,0,0.29,0,0.12,0,0.16,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.15,0,0.43,0,0.17,0,0.66,0,0.63,0,0,0,0,0
85.729,0.98,0.72,0,0,0,0.5,0,0.86,1,0.53,0,0,0,0.05,0,0,0,0,0,0,0,1,1,3.25,1,0.35,0,0.84,0,1.56,0,0.96,0,0,0
86.062,0.98,2.47,1,0.13,0,0.97,1,2.14,1,0.73,0,0,0,0.83,1,0,0,0.05,1,0,0,1.23,1,3.99,1,0.33,0,0.06,0,2.88,0,0.95,0,0.07,0
86.396,0.93,2.53,1,0.03,0,0.07,1,2.15,1,0.84,0,0,0,1.13,1,0.54,1,0.64,0,0,0,0.35,1,3.17,1,0,0,0,0,2.58,1,0.7,1,0,0
86.729,0.98,2.62,1,0.21,0,1.19,1,2.02,0,0.51,0,0,0,1.01,0,0,0,0,0,0,0,0,1,1.54,1,0,0,0,0,1.74,0,1.08,0,0,0
87.063,0.93,1.67,0,0.03,0,1.06,1,1.26,0,0.45,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0.64,0,0.13,0,0,0
87.397,0.93,0.72,0,0.04,0,0.66,1,0.58,0,0.55,0,0.12,0,0,0,0,0,0,0,0.03,0,0,0,0.26,0,0,0,0,0,0.57,1,0,0,0.16,0
87.73,0.93,0.65,0,0.01,0,0.66,1,0.08,0,0.26,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.07,0,0.04,0,0.03,0
88.064,0.88,0.95,0,0,0,0.58,0,0.09,0,0.19,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0.5,0,0,1,0,0,0.29,0,0.13,0,0,0
88.397,0.88,1.36,0,0,0,0.34,0,0.15,0,0.16,0,0,0,0.01,0,0,0,0,1,0,0,0.21,0,0.75,0,0.07,1,0,0,0.55,0,0.32,0,0,0
88.731,0.88,1.01,0,0,0,0.11,0,0.65,0,0.18,0,0,0,0,0,0,0,0,0,0.01,0,0.48,0,0.82,0,0.06,1,0,0,0.97,0,0.43,0,0,0
89.064,0.88,0.62,0,0.02,0,0,0,0.8,0,0.12,0,0,0,0,0,0,0,0,1,0.02,0,1,1,0.77,0,0,1,0,0,0.97,0,0.64,0,0,0
89.398,0.82,0,1,0.13,0,0,1,1.27,0,0.06,0,0,0,0,0,0,0,0,0,0.53,0,1.4,1,2.53,1,0.07,1,0.69,0,0.29,0,1.72,0,0,0
89.732,0.77,0,1,0.41,0,0,1,1.24,0,0.15,0,0,0,0,0,0,0,0,1,0.07,0,1.09,1,2.29,0,0.76,1,0.9,0,0.75,0,0.94,0,0,0
90.065,0.77,0,0,0.08,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0.28,1,1.99,0,0.26,1,1.16,0,0.29,0,0.99,0,0,0
90.399,0.82,0,0,0.08,0,0.75,1,0.39,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.21,0,3.39,1,1.48,0,1.15,1,0.8,0,2.37,0,0.01,0
90.732,0.88,0.7,0,0.25,0,0.33,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,2.45,1,0.72,0,1.1,0,1.3,0,1.67,1,0,0
91.066,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.399,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.733,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.067,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.067,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.401,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.735,0.98,1.51,1,0.39,0,0.83,1,1.42,1,1.26,0,0,0,0.18,0,0,0,0.02,0,0,0,1.91,1,4.49,1,0.47,0,0,0,3.03,1,1.1,1,0,0
94.068,0.98,1.65,1,0.38,0,0.75,1,1.71,1,1.35,0,0,0,0.23,0,0,0,0.06,0,0,0,1.96,1,4.58,1,0.25,0,0,0,2.83,0,1.29,0,0,0
94.402,0.98,1.78,1,0.31,0,0.48,1,1.74,1,1.25,0,0,0,0.33,0,0,0,0,0,0,0,2.23,1,4.3,1,0.33,0,0,0,3.11,0,0.93,0,0,0
94.735,0.98,1.7,0,0.26,0,0.75,1,1.16,1,1.36,0,0,0,0.17,0,0,0,0.15,0,0,0,1.72,1,4.24,1,0.12,0,0.01,0,3.25,1,1.33,0,0,0
95.069,0.93,1.55,0,0.18,0,0.47,1,1.6,1,0.88,1,0,0,0,0,0.07,0,0,0,0,0,1.57,1,4.67,1,0.2,0,0.59,0,2.37,0,1.26,0,0,1
95.402,0.93,1.81,0,0.18,0,0.49,1,1.5,1,0.6,1,0,0,0,0,0.1,0,0,0,0.06,0,2.24,1,4.96,1,0.13,0,1.25,0,2.08,0,1.29,0,0,1
95.736,0.93,0,1,0.06,0,0,0,0.66,0,0.03,0,0,0,0,0,0,1,0,0,0.27,0,0.35,1,2.81,1,0.09,0,1.13,0,1.89,0,0.77,0,0.38,0
96.07,0.88,0,1,0.06,0,0,0,1.17,0,0,0,0,0,0,0,0,1,0,1,0,0,0.8,0,2.56,1,0.09,1,0.41,0,1.25,0,1.58,0,0,0
