Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
7.672,0.98,0.85,1,0,0,0,0,0.53,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,1.22,1,0.14,0,0,0,2.03,1,0,0,1.25,1
8.006,0.98,0.79,1,0,0,0,0,0.75,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,1.52,1,0.45,0,0,0,1.99,1,0,0,1.05,1
8.339,0.98,0.59,1,0,0,0,0,0.75,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,1.35,1,0.31,0,0,0,2.15,1,0,0,1.22,1
8.673,0.98,0.67,1,0,0,0,0,0.7,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,1.4,1,0.03,0,0,0,1.9,1,0,0,0.81,1
9.007,0.98,0.71,1,0,0,0,0,0.57,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,1.28,1,0,0,0,0,2.04,1,0,0,0.76,1
9.34,0.98,0.64,1,0,0,0,0,0.72,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,1.36,1,0.12,0,0,0,1.99,1,0,0,0.76,1
9.674,0.98,0.72,1,0,0,0,0,0.79,0,0,0,0,0,0.65,0,0,0,0.02,0,0,0,0,0,1.55,1,0.17,0,0,0,2.08,1,0,0,0.85,1
10.007,0.98,0.46,0,0,0,0,0,0.62,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.97,1,0,0,0,0,2.15,1,0,0,0.69,0
10.341,0.98,0.23,0,0,0,0,0,0.55,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.93,1,0,0,0,0,2.08,1,0,0,0.46,0
10.674,0.98,0.43,0,0,0,0,0,0.62,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,1.1,1,0,0,0,0,2.21,1,0,0,0.68,0
11.008,0.98,0.42,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1.33,1,0,0,0,0,2.17,1,0,0,0.73,0
11.342,0.98,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.39,1,0,0,0,0,1.9,1,0,0,1.09,1
11.675,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,1,0,0,0.61,0
12.009,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0.27,0
12.342,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0.11,0
12.676,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1,0,0,1.81,1
13.009,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1,0,0,1.11,1
13.343,0.98,0.06,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1,0,0,0.84,0
13.677,0.98,0.02,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0.91,0
14.01,0.98,0,0,0,0,0,0,0,0,0,0,0.28,1,0,0,0,0,0,0,0,0,0,0,1.35,1,0.02,0,0.34,0,0,0,0,0,0.92,0
14.344,0.98,0,0,0,0,0,0,0,0,0,0,0.05,1,0.21,0,0,0,0,0,0,0,0.1,1,1.51,1,0,0,0.19,0,0,0,0.27,0,1.09,1
14.677,0.98,0.67,0,0,0,0,0,0,0,0.47,0,1.47,1,0.85,1,0.09,1,0,0,0,0,0,1,0.78,1,1.07,1,0.58,0,0.68,0,0.85,1,0,0
15.011,0.98,0.66,0,0,0,0,0,0,0,0.28,0,1.02,1,0.74,1,0.12,1,0,0,0,0,0,1,0.3,0,0.79,1,0.61,0,0.09,0,0.69,1,0,0
15.344,0.98,0.74,0,0,0,0.04,0,0,0,0.18,0,0.62,1,0.8,1,0.14,1,0,0,0,0,0,0,0,0,0.42,1,0.45,0,0.02,0,0.73,1,0,0
15.678,0.88,1.12,1,0,0,0,0,0.11,0,0,0,0,0,0.7,0,0.54,1,0.58,0,0,0,0.46,1,1.6,0,0.1,0,0.34,0,1.27,0,0.95,0,0,0
16.012,0.98,1.7,1,0.05,0,2.14,1,0.1,0,0.01,0,0,0,0,0,0,0,0.06,0,0.06,0,1.75,1,3.18,1,1.24,1,1.38,0,0.71,0,0.51,0,0,0
16.345,0.98,0.73,1,0,0,1.59,1,0.1,0,0.16,1,0,0,0,0,0,0,0.01,0,0,0,1.8,1,2.64,1,1.04,1,0.65,0,0,0,0,0,0,0
16.679,0.98,1.19,1,0.19,1,2.54,0,0.55,0,0.39,0,0,0,0,0,0,0,0,0,0,0,1.65,1,3.41,1,1.64,1,1,0,0.67,0,0.15,0,0,0
17.012,0.98,1.04,1,0.2,0,2.37,0,1.05,0,0.3,0,0,0,0,0,0,0,0,0,0.11,0,1.07,1,3.17,1,1.47,1,0.99,0,1.14,0,0.49,0,0,0
17.346,0.98,1.02,1,0.29,1,1.93,1,1.02,1,0.44,1,0,0,0,0,0,0,0.05,0,0,0,2.44,1,3.45,1,1.46,1,1.05,0,0.61,0,0.26,0,0,0
17.679,0.98,1.78,1,0.68,1,2.32,1,1.65,1,0.21,0,0,0,0.08,0,0,0,0,0,0.38,0,1.67,1,3.48,1,2.16,1,1,0,1.62,0,0.16,0,0.09,0
18.013,0.98,1.73,1,0,0,0.02,1,1.59,1,0.63,0,0,0,1.03,1,0.22,1,0.01,0,0,0,2.88,1,4.6,1,0.24,0,1.61,0,2.06,0,1.9,0,0,0
18.347,0.93,2.22,1,0,0,0,1,1.77,0,0,0,0,0,1.48,1,0.67,1,0.39,0,0,0,0.42,1,2.74,1,0.61,1,0,0,2.58,0,1.25,0,0,0
18.68,0.93,2.47,1,0,0,0.13,1,1.2,0,0,0,0,0,1.54,1,0.69,0,0.36,1,0,0,0.06,1,2.24,1,0.21,1,0,0,2.09,0,1.53,0,0,0
19.014,0.98,2.34,1,0,0,0.08,1,1.17,0,0.03,0,0,0,1.27,1,0.48,0,0.34,1,0,0,0.09,1,1.97,1,0.05,1,0,0,1.55,0,0.95,0,0,0
19.347,0.98,2.71,1,0,0,0.11,1,1.33,0,0.04,0,0,0,1.31,1,0.38,0,0.46,1,0,0,0.12,1,1.87,1,0,0,0,0,1.35,0,1.17,0,0,0
19.681,0.98,2.62,1,0,0,0.38,1,1.31,0,0.07,0,0,0,1.32,1,0.34,0,0.35,1,0,0,0,1,1.87,1,0,0,0,0,1.45,0,0.96,0,0,0
20.015,0.98,2.63,1,0,0,0.12,1,1.45,0,0.05,0,0,0,1.34,1,0.44,0,0.28,1,0,0,0.05,1,1.65,1,0,0,0,0,1.41,0,1.16,0,0,0
20.348,0.98,2.6,1,0,0,0.03,1,1.45,0,0.08,0,0,0,1.4,1,0.81,0,0,0,0,0,0,1,2.05,1,0.1,1,0,0,1.3,0,1.18,0,0,0
20.682,0.98,2.61,1,0,0,0.11,1,1.56,0,0.09,0,0,0,1.35,1,0.87,0,0.13,0,0,0,0,1,1.81,1,0.09,0,0,0,1.34,0,1.02,0,0,0
21.015,0.93,2.44,1,0,0,0.1,1,1.42,0,0.14,0,0,0,1.19,1,0.21,0,0.03,0,0,0,0.02,1,1.68,1,0,0,0,0,1.07,0,0.81,0,0,0
21.349,0.93,2.34,1,0,0,0,1,1.73,0,0.54,0,0,0,1.66,1,0.22,1,0.31,0,0,0,0.28,1,2.78,1,0.13,0,0,0,2.41,0,0.8,0,0,0
21.682,0.93,2.1,1,0,0,0,0,2,1,0.7,0,0,0,1.61,1,0.09,0,0.47,0,0,0,1.09,1,3.65,1,0.25,0,0,0,3.06,0,1.68,0,0,0
22.016,0.98,2.13,1,0,0,0,0,1.99,1,0.84,0,0,0,1.71,1,0.66,0,0.5,0,0,0,1.05,1,3.63,1,0,0,0,0,3.38,0,1.6,0,0,0
22.35,0.93,2.71,1,0.04,0,0.05,0,1.82,1,0.99,0,0,0,1.55,1,1.27,0,0.58,0,0,0,1.49,1,3.78,1,0,0,0,0,3.41,0,1.71,0,0,0
22.683,0.98,2.03,1,0,0,0.21,0,1.74,1,0.97,0,0,0,1.24,1,0.23,0,0.69,0,0,0,1.38,1,4.41,1,0.33,0,0.26,0,3.36,0,1.87,0,0,0
23.017,0.98,1.87,1,0,0,0.42,0,1.79,1,0.92,0,0,0,1.1,1,0.04,0,0.55,0,0,0,1.35,1,4.3,1,0.51,0,0.14,0,3.54,0,1.96,0,0,0
23.35,0.98,2.02,1,0,0,0.1,0,1.58,1,0.83,0,0,0,1.31,1,0.33,0,0.6,0,0,0,1.38,1,3.89,1,0.21,0,0.09,0,2.99,0,1.63,0,0,0
23.684,0.93,1.97,1,0,0,0.21,0,1.75,1,0.64,0,0,0,1.4,1,0.54,0,0.67,0,0,0,1.26,1,3.72,1,0.54,0,0.27,0,3.06,0,1.77,0,0,0
24.017,0.98,1.88,1,0,0,0.04,0,1.83,1,0.64,0,0,0,1.68,1,0.58,0,0.61,0,0,0,1.28,1,3.82,1,0.38,0,0.3,0,3.17,0,1.59,0,0,0
24.351,0.93,2.2,1,0,0,0.03,0,2.55,1,0.66,0,0,0,2.09,1,0.95,0,0.1,0,0,0,1.71,1,3.83,1,0.05,0,0,0,3.05,0,1.6,0,0,0
24.685,0.98,1.03,1,0,0,0,1,0.55,0,0.01,0,0,0,0,0,0,0,0.02,1,0,0,0,1,0,0,0,0,0,0,1.4,0,0.28,0,0,1
25.018,0.98,0.67,0,0,0,0.01,1,0.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.59,0,0.28,0,0,1
25.352,0.98,0.72,1,0,0,0.04,1,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.93,0,0.4,0,0,1
25.685,0.98,0.8,1,0,0,0.03,1,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.81,0,0.29,0,0,1
26.019,0.98,0.76,1,0,0,0.11,1,0.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.8,0,0.44,0,0,1
26.352,0.98,0.82,1,0,0,0,1,0.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.79,0,0.38,0,0,1
26.686,0.98,0.98,1,0,0,0,1,0.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.77,0,0.38,0,0,1
27.02,0.98,0.93,1,0,0,0,1,0.63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.88,0,0.4,0,0,1
27.353,0.98,1.01,1,0,0,0.16,1,0.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.77,0,0.49,0,0,1
27.687,0.98,0.82,1,0,0,0,1,0.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.06,0,0,0,0,0,0.93,0,0.59,0,0,1
28.02,0.98,0.96,1,0,0,0.09,1,0.88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0,0,0,0,0,0.98,0,0.4,0,0,1
28.354,0.98,2.19,1,0,0,0,1,1.24,0,0.13,0,0,0,0.68,0,0.17,0,0,0,0,0,0,1,1.21,0,0,0,0,0,1.19,0,0.86,0,0,1
28.687,0.93,2.28,1,0,0,0,0,2.13,0,0.47,0,0,0,1.77,1,0.08,0,0.18,0,0,0,0.29,1,2.84,1,0,0,0,0,2.78,0,0.82,0,0,0
29.021,0.93,2.35,1,0,0,0,0,1.95,0,0.5,0,0,0,1.9,1,0.17,0,0.17,0,0,0,0.9,1,2.86,1,0.03,0,0,0,2.51,0,0.99,0,0,0
29.355,0.93,2.52,1,0,0,0,0,1.95,0,0.59,0,0,0,1.83,1,0.39,0,0.34,0,0,0,0.49,1,2.98,1,0,0,0,0,2.23,0,0.75,0,0,0
29.688,0.98,2.53,1,0,0,0.02,0,1.64,0,0.58,0,0,0,2.1,1,0.77,1,0.21,0,0,0,0.63,1,2.74,1,0,0,0,0,2.74,0,0.79,0,0,0
30.022,0.98,2.14,1,0,0,0.09,0,2.41,1,0.64,0,0,0,1.43,1,0.46,1,0.2,0,0,0,1.21,1,3.69,1,0,0,0,0,3.18,0,1.8,0,0,0
30.355,0.93,0.81,0,0.14,0,0,0,1.92,1,1.14,1,0,0,0.26,0,0.32,0,0,0,0,0,1.88,1,4.4,1,0.38,0,1.24,0,2.63,0,0.82,0,0,0
30.689,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.023,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.356,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.69,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.023,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.357,0.98,1.88,1,0,0,0.77,1,1.53,1,0,0,0,0,0.47,0,0.44,0,0.03,0,0.04,0,2.96,1,4.57,1,2.17,1,1.01,1,2.53,0,1.24,0,0,0
32.69,0.98,1.77,1,0,0,0.88,1,1.66,1,0.03,0,0,0,0.26,0,0.39,0,0.03,1,0.2,0,0.79,1,4.09,1,0.45,0,1.42,0,2.23,0,1.91,0,0,0
33.024,0.98,1.28,1,0,0,0.71,1,1.5,1,0.02,0,0,0,0.13,0,0,0,0,1,0,0,3.24,1,4.75,1,1.74,1,1.01,1,2.97,0,2.02,0,0,0
33.358,0.98,1.23,0,0,0,0.54,1,0.79,1,0.33,0,0,0,0.33,0,0.02,0,0.19,0,0,0,2.63,1,4.56,1,0.95,0,1.18,1,1.89,0,2.49,0,0,0
33.691,0.98,1.4,1,0.04,0,0,0,2.46,1,0.49,0,0,0,1.32,1,0.01,0,0,0,0,0,2.42,1,3.89,1,0.51,0,0.39,0,2.1,0,1.37,0,0,0
34.025,0.98,1.93,1,0,0,0,0,2.56,1,0.44,0,0,0,1.81,1,1.16,0,0,0,0,0,1.46,1,2.66,1,1.6,0,0.09,0,1.13,0,0.75,1,0,0
34.358,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.692,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.025,0.93,2.69,1,0.01,0,0.45,1,2.01,0,0.85,0,0,0,1.67,1,0.25,1,0.45,0,0,0,0.66,1,2.6,1,0,0,0,0,2.71,0,0.59,0,0,0
35.359,0.93,2.7,1,0.09,0,0.75,1,2.09,0,0.57,0,0,0,1.63,1,0.13,0,0.11,0,0,0,0.74,1,2.12,1,0,0,0,0,2.56,0,0.58,0,0,0
35.693,0.98,2.25,1,0.01,0,0.69,1,1.52,0,0.07,0,0,0,0.92,1,0,0,0,0,0,0,0.26,1,0.72,1,0,0,0,0,0.97,0,1.16,0,0,0
36.026,0.98,1.43,1,0,0,0.03,1,0.9,0,0.29,0,0,0,0.39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.57,0,0.86,0,0,1
36.36,0.93,2.48,1,0,0,0.53,1,1.7,0,0.54,0,0,0,1.65,1,0.23,1,0.33,0,0,0,0.15,1,2.41,1,0.03,0,0,0,2.4,0,0.65,0,0,0
36.693,0.98,1.84,1,0,0,0.02,0,1.9,0,0.56,0,0,0,1.97,1,0.66,0,0.28,0,0,0,1.19,1,3.38,1,0.16,0,0,0,2.84,0,0.71,0,0,0
37.027,0.98,2.14,1,0,0,0,0,1.86,0,0.67,0,0,0,1.71,1,0.5,0,0.17,0,0,0,1.4,1,3.6,1,0.01,0,0,0,2.96,0,1.01,0,0,0
37.36,0.93,2.27,1,0,0,0.22,0,1.89,1,0.75,0,0,0,1.65,1,0,1,0.05,0,0,0,1.21,1,3.37,1,0.02,0,0,0,2.84,0,0.92,0,0,0
37.694,0.93,2.26,1,0,0,0.05,0,1.91,0,0.62,0,0,0,1.6,1,0.34,1,0.38,0,0,0,1.17,1,3.37,1,0.08,0,0,0,2.64,0,1.42,0,0,0
38.028,0.93,2.73,1,0,0,0.48,1,1.62,0,0.23,0,0,0,1.69,1,0.68,1,0.01,0,0,0,0.95,1,2.11,1,0.17,0,0,0,2.27,0,1.26,0,0,0
38.361,0.93,2.25,1,0,0,0.27,0,2.02,0,0.07,0,0,0,0.88,0,0.09,1,0.01,1,0,0,1.42,1,3.11,1,0.12,0,0,0,2.36,0,0.88,0,0,0
38.695,0.88,2.52,1,0.04,0,0.67,1,1.86,0,0.02,0,0,0,1.44,1,0.61,1,0,1,0,0,1.78,1,2.49,1,0.03,0,0,0,2.27,0,0.82,0,0,0
39.028,0.88,2.24,1,0.02,0,0.85,1,1.88,0,0,0,0,0,1.08,0,0.6,1,0,0,0,0,1.47,1,2.29,1,0.08,1,0,0,2.17,0,0.87,0,0,0
39.362,0.88,2.04,1,0.02,0,1.51,1,2.11,0,0,0,0,0,0.86,0,0.64,1,0,0,0,0,1.77,1,2.14,1,0,0,0,0,1.67,0,1.07,0,0,0
39.695,0.88,1.72,1,0.07,0,1.64,1,2.08,0,0.02,0,0,0,0.72,1,0.4,1,0,0,0,0,1.76,1,1.79,1,0.04,0,0,0,1.79,0,1.28,0,0,0
40.029,0.93,2.6,1,0.09,0,1.05,1,2.17,0,0.28,0,0,0,1.43,1,0.91,1,0,0,0,0,1.52,1,2.7,1,0.65,1,0,0,2.44,0,0.99,0,0,0
40.363,0.93,2.24,1,0.11,0,0.03,1,2.29,1,0.8,0,0,0,1.2,1,0.44,1,0.68,0,0,0,1.58,1,3.12,1,0.6,0,0,0,3,1,0.9,1,0,0
40.696,0.93,2.24,1,0.14,0,0.26,1,2.44,0,0.88,0,0,0,1.21,1,0.07,1,0.12,0,0,0,1.84,1,3.11,1,0.08,0,0,0,2.27,1,0.74,0,0,0
41.03,0.93,2.51,1,0.08,0,0.73,1,2.01,0,1.01,0,0,0,1.21,1,0.05,1,0.33,0,0,0,1.03,1,2.7,1,0,0,0,0,2.85,1,0.33,0,0,0
41.363,0.93,2.4,1,0,0,0.88,1,1.81,0,0.88,0,0,0,1.43,1,0.34,1,0.31,0,0,0,0.94,1,2.33,1,0,0,0,0,2.76,1,0.83,0,0,0
41.697,0.93,2.66,1,0,0,0.83,1,2.33,0,0.83,0,0,0,1.35,1,0.3,1,0.34,0,0,0,0.49,1,2.69,1,0,0,0,0,3.03,1,0.35,0,0,0
42.031,0.93,2.5,1,0.01,0,1.13,1,2.08,0,0.85,0,0,0,1.4,1,0.17,1,0.06,0,0,0,0.47,1,2.73,1,0,0,0,0,2.66,1,0.19,0,0,0
42.364,0.93,2.51,1,0,0,0.96,1,1.82,0,0.68,0,0,0,1.09,1,0.01,1,0,0,0,0,0.77,1,3.03,1,0,0,0,0,2.79,1,0.8,0,0,0
42.698,0.93,3.07,1,0,0,0.91,1,1.46,0,0.38,0,0,0,1.77,1,0.78,1,0.43,0,0,0,0.68,1,1.84,1,0,0,0,0,2.17,0,0.82,0,0,0
43.031,0.98,0.79,0,0,0,0.03,1,0.47,0,0.48,0,0,0,0.05,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.69,0,0.4,0,0,1
43.365,0.98,0.94,1,0,0,0.09,0,0.29,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.21,0,0,1
43.698,0.93,2.46,1,0,0,0.07,1,1.62,0,0.49,0,0,0,1.71,1,0.1,0,0.38,0,0,0,0.04,1,1.93,1,0.05,0,0,0,2.54,0,0.69,0,0,0
44.032,0.93,2.31,1,0,0,0.04,0,1.56,0,0.49,0,0,0,1.78,1,0.39,0,0.17,0,0,0,0.91,1,2.87,1,0.04,0,0,0,2.51,0,1.15,0,0,0
44.366,0.93,2.21,1,0,0,0.03,0,2.14,1,0.74,0,0,0,1.76,1,0.37,0,0.05,0,0,0,1.05,1,3.11,1,0,0,0,0,2.67,0,1.11,0,0,0
44.699,0.98,2.27,1,0,0,0,0,2.05,1,0.55,0,0,0,1.87,1,0.5,0,0.35,0,0,0,0.77,1,3.13,1,0.05,0,0,0,2.74,0,0.93,0,0,0
45.033,0.93,2.44,1,0,0,0.01,1,2.11,1,0.59,0,0,0,1.94,1,0.61,0,0.04,0,0,0,0.29,1,2.93,1,0.02,0,0,0,2.67,0,0.85,0,0,0
45.366,0.93,2.38,1,0,0,0,1,2.24,1,0.54,0,0,0,1.89,1,0.43,0,0.38,0,0,0,0.48,1,2.87,1,0,0,0,0,2.73,0,0.93,0,0,0
45.7,0.93,2.37,1,0,0,0.05,1,2.05,1,0.53,0,0,0,1.72,1,0.04,0,0.19,0,0,0,0.48,1,2.66,1,0.06,0,0,0,2.83,0,0.94,0,0,0
46.033,0.93,2.47,1,0,0,0.11,1,1.53,0,0.46,0,0,0,1.96,1,0.63,0,0.18,0,0,0,0.57,1,2.74,1,0,0,0,0,2.61,0,0.8,0,0,0
46.367,0.93,2.63,1,0,0,0.02,1,1.97,0,0.57,0,0,0,1.97,1,0.54,0,0.33,0,0,0,0.55,1,2.79,1,0,0,0,0,2.47,0,1.04,0,0,0
46.701,0.93,2.72,1,0,0,0.15,1,1.8,0,0.5,0,0,0,1.52,1,0.2,0,0.19,0,0,0,0.06,1,2.24,1,0,0,0,0,2.26,0,1.09,0,0,0
47.034,0.98,1.33,1,0,0,0.13,1,0.9,0,0.15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.03,0,0.68,0,0,0
47.368,0.98,0.8,0,0,0,0,0,0.39,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0.27,0,0,0
47.701,0.98,0.99,1,0,0,0,0,0.67,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0.49,0,0,0
48.035,0.93,3.01,1,0,0,0.19,1,1.41,0,0.42,0,0,0,1.07,0,0,0,0.17,0,0,0,0.02,1,1.32,0,0,0,0,0,1.92,0,0.83,0,0,0
48.368,0.93,2.94,1,0,0,0.09,1,1.52,0,0.56,0,0,0,1.74,1,0.67,1,0.43,0,0,0,0.04,1,2.48,1,0,0,0,0,2.33,0,1.21,0,0,0
