Originating Time,Confidence,AU04_i,AU04_o,AU06_i,AU06_o,AU07_i,AU07_o,AU10_i,AU10_o,AU12_i,AU12_o,AU14_i,AU14_o,AU01_i,AU01_o,AU02_i,AU02_o,AU05_i,AU05_o,AU09_i,AU09_o,AU15_i,AU15_o,AU17_i,AU17_o,AU20_i,AU20_o,AU23_i,AU23_o,AU25_i,AU25_o,AU26_i,AU26_o,AU45_i,AU45_o
8.337,0.98,0.83,0,0,0,0.56,1,0.06,0,0.01,0,0.54,1,0,0,0,0,0.1,1,0,0,0,0,0.78,0,0,0,0,0,1.2,1,1.99,1,0,0
8.671,0.98,0.96,1,0,0,0.15,1,0,0,0,0,0.62,1,0,0,0,0,0,1,0,0,0.03,0,0.6,1,0,0,0,0,0,0,0.91,1,0.05,1
9.004,0.98,1.2,1,0,0,0.15,1,0,0,0,0,0.91,1,0,0,0,0,0,1,0,0,0.23,0,0.37,0,0,0,0,0,0.17,0,0.42,0,0.02,1
9.338,0.98,0.57,0,0,0,0,1,0,0,0,0,0.56,1,0,0,0,0,0,1,0,0,0.01,0,0.16,0,0,0,0,1,0.26,0,0.02,0,0,0
9.671,0.98,0.92,1,0,0,0.41,0,0,0,0,0,0.33,1,0,0,0,0,0,1,0,0,0.11,0,0.68,1,0,0,0.02,1,0.15,0,0.19,0,0,0
10.005,0.98,0.76,0,0,0,0.26,1,0,0,0,0,0.46,1,0,0,0,0,0,0,0,0,0.33,0,0.84,1,0,0,0,0,0,0,0.1,0,0.04,1
10.338,0.98,0.72,0,0,0,0.14,1,0,0,0,0,0.49,1,0,0,0,0,0,0,0,0,0.15,0,0.82,1,0,0,0,0,0,0,0.33,0,0.39,1
10.672,0.98,0.68,0,0,0,0.09,1,0,0,0,0,0.54,1,0,0,0,0,0,1,0,0,0,0,0.67,1,0,0,0,0,0,0,0.71,0,0.2,1
11.005,0.98,0.75,0,0,0,0.1,1,0,0,0,0,0.65,1,0,0,0,0,0,0,0,0,0,0,0.47,1,0,0,0,0,0,0,0.76,0,0,0
11.339,0.98,0.59,0,0,0,0,1,0,0,0,0,0.76,1,0,0,0,0,0,1,0,0,0,0,0.31,0,0,0,0.06,0,0,0,1.05,0,0,0
11.672,0.98,0.57,0,0,0,0.04,1,0,0,0,0,0.65,1,0,0,0,0,0,1,0.01,0,0,0,0.24,0,0,0,0.01,0,0.05,0,1.08,0,0,0
12.006,0.98,0.56,0,0,0,0.22,1,0,0,0,0,0.47,1,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0.82,0,0,0
12.339,0.98,0.1,0,0,0,0,1,0,0,0,0,0.55,1,0,0,0,0,0,1,0,0,0.13,1,0.75,1,0,0,0,0,0.17,0,0.51,0,0,0
12.673,0.98,0.06,0,0,0,0,0,0,0,0,0,0.66,1,0,0,0,0,0.03,1,0,0,0,1,0.46,1,0,0,0,0,0.03,0,0.59,0,0,0
13.006,0.98,0.04,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.02,1,0.15,0,0,0,0,0,0,0,0,0,0.58,0,1.02,0,0,0
13.34,0.98,0.21,0,0,0,0,0,0,0,0,0,0.49,1,0,0,0,0,0.46,1,0.07,0,0.38,0,0,0,0,0,0,0,0.56,0,0.93,0,0,0
13.673,0.98,0.07,0,0,0,0,0,0,0,0,0,0.86,1,0,0,0,0,0.37,1,0.06,0,0.25,0,0,0,0,0,0,0,0.56,0,0.73,0,0,0
14.006,0.98,0.07,0,0,0,0,0,0,0,0,0,0.51,1,0,0,0,0,0.36,1,0.13,0,0.31,0,0,0,0,0,0,0,0.69,0,0.63,0,0,0
14.34,0.98,0.33,0,0,0,0,0,0,0,0,0,0.6,1,0,0,0,0,0.34,1,0.37,0,0.15,0,0,0,0,0,0,0,0.46,0,0.66,0,0,0
14.673,0.98,0.2,0,0,0,0,0,0,0,0,0,0.66,1,0,0,0,0,0.67,1,0.11,0,0.01,0,0,0,0,0,0,0,0.54,0,0.97,0,0,0
15.007,0.98,0.42,1,0,0,0,0,0,0,0,0,0.21,1,0,0,0,0,0.17,1,0.22,0,0.85,0,0,0,0,0,0,0,0.96,0,0.67,0,0,0
15.34,0.98,0.19,0,0,0,0,0,0,0,0,0,0.23,1,0,0,0,0,0.35,1,0.18,0,0.72,0,0,0,0,0,0,0,0.3,0,0.71,0,0,0
15.674,0.98,0.1,0,0,0,0,0,0.1,0,0,0,0.72,1,0,0,0,0,0.2,1,0.3,0,0.13,0,0,0,0,0,0,0,1.04,0,0.75,0,0,0
16.007,0.98,0.18,0,0,0,0,0,0.02,0,0,0,0.63,1,0,0,0,0,0.03,1,0.41,0,0,0,0,0,0,0,0,0,0.65,0,0.96,0,0,0
16.341,0.98,0.13,0,0,0,0,0,0.06,0,0,0,0.47,1,0,0,0,0,0.08,1,0.17,0,0.59,0,0,0,0,0,0,0,0.72,0,0.55,0,0.29,1
16.674,0.98,0.36,0,0,0,0,0,0.03,0,0,0,0.87,1,0,0,0,0,0.03,1,0.04,0,0.7,0,0,0,0,0,0,0,0.67,0,0.57,0,0.07,1
17.008,0.98,0.6,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0,0,0.05,1,0.17,0,0.32,0,0,0,0,0,0,0,0.71,0,0.57,0,0.26,1
17.341,0.98,0.45,0,0,0,0.14,1,0,0,0,0,0.81,1,0,0,0,0,0,1,0.4,0,0.25,0,0,0,0,0,0,0,0.41,0,0.85,0,0,0
17.675,0.98,0.22,0,0,0,0,1,0.01,0,0,0,0.79,1,0,0,0,0,0,1,0.31,0,0.2,0,0,0,0,0,0,0,0.85,0,0.81,0,0,0
18.008,0.98,0.06,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0,0,0,1,0.29,0,0.06,0,0,0,0,0,0,0,0.49,0,0.88,0,0,0
18.342,0.98,0.25,0,0,0,0.1,1,0,0,0,0,0.65,1,0,0,0,0,0,1,0.34,0,0,0,0,0,0,0,0,0,0.63,0,0.81,0,0,0
18.675,0.98,0.27,0,0,0,0,0,0,0,0,0,0.61,1,0,0,0,0,0.02,1,0.19,0,0.27,0,0.03,0,0,0,0,0,0.15,0,0.87,0,0.39,1
19.009,0.98,0.26,0,0,0,0.29,0,0,0,0,0,1.11,1,0,0,0,0,0.07,1,0,0,0.11,1,0.2,0,0,0,0,0,0,0,0.69,0,0.29,1
19.342,0.98,0.49,0,0,0,0.37,1,0,0,0,0,1.05,1,0,0,0,0,0,1,0.01,0,0,1,0.45,1,0,0,0,0,0,0,0.92,0,0.18,1
19.676,0.98,0.38,0,0,0,0.06,0,0,0,0,0,0.95,1,0,0,0,0,0,0,0,0,0,1,0.45,1,0,0,0,0,0,0,0.83,0,0.14,1
20.009,0.98,0.18,0,0,0,0.04,1,0,0,0,0,1.03,1,0,0,0,0,0,1,0,0,0,0,0.37,1,0,0,0,0,0.16,0,0.92,0,0.02,1
20.343,0.98,0.45,0,0,0,0.12,0,0,0,0,0,0.86,1,0,0,0,0,0,1,0.04,0,0,0,0.16,0,0,0,0,0,0.2,0,1.05,0,0.06,1
20.676,0.98,0.3,0,0,0,0,0,0,0,0,0,0.93,1,0,0,0,0,0,1,0.13,0,0.22,1,0.12,0,0,0,0,0,0.3,0,0.93,0,0.25,1
21.01,0.98,0,0,0,0,0,0,0,0,0,0,1.05,1,0,0,0,0,0.01,1,0,0,0.38,1,0.09,0,0,0,0,0,0.14,0,0.46,0,0.63,1
21.343,0.98,0.51,0,0,0,0.25,1,0,0,0,0,0.61,1,0,0,0,0,0,0,0,0,0.16,1,1.44,1,0.02,0,0.03,0,0.12,0,1.18,0,0.58,1
21.677,0.98,0.43,0,0.03,0,1.37,1,0,1,0.69,1,0.58,1,0,0,0,0,0,0,0,0,0.08,0,1,1,0.08,0,0,1,1.6,1,1.41,0,0.19,1
22.01,0.88,0.18,0,0.47,1,0.89,1,0.37,1,0.99,1,0.84,1,0,0,0,0,0,0,0,0,0.1,1,1.51,1,0,0,0.29,0,1.42,1,0.96,0,0.56,1
22.344,0.98,0.6,0,0.58,1,0.89,1,0.86,1,0.87,1,2.09,1,0,0,0,0,0,0,0.44,1,0.05,1,0.59,1,0,0,0,1,0.05,0,0.24,0,0,1
22.677,0.98,0.26,0,0.91,1,1.37,1,1.68,1,1.45,1,2.55,1,0,0,0,0,0,0,0.5,1,0.24,1,0.34,1,0,0,0,0,1.1,1,0.1,0,0,1
23.011,0.98,0.49,0,1.02,1,0.96,1,1.47,1,1.67,1,2.1,1,0,0,0,0,0,0,0.6,1,0,0,0.08,1,0,0,0,0,0.97,1,0.03,0,0,1
23.344,0.98,0.45,0,0.71,1,1.21,1,0.98,1,1.48,1,1.46,1,0,0,0,0,0,0,0.4,1,0,0,0.28,0,0,0,0,0,1.01,1,0.19,0,0,1
23.678,0.98,0.52,0,0.56,1,1.15,1,1.09,1,1.25,1,1.85,1,0,0,0,0,0,0,0.13,1,0.19,0,0.59,0,0,0,0,0,0.34,0,0,0,0.05,1
24.011,0.93,0.04,1,0.97,1,0.02,1,0,1,0.56,0,1.65,1,0.24,0,0.27,0,0,0,0.5,0,0.62,0,0.24,0,0,0,0.71,0,0.8,0,0.07,0,0.14,0
24.345,0.93,0.51,1,0.58,1,0,0,0.49,1,0.68,0,1.58,1,0.45,0,0.17,0,0.93,0,0.72,1,0.63,0,0.97,0,0,0,1.54,0,0.83,0,0.79,0,0,0
24.678,0.93,0.22,0,0.54,1,0,0,0.27,1,0.53,0,1.44,1,0.31,0,0.04,0,0.79,0,0.82,1,0.07,0,0.67,0,0,0,1.13,0,1.09,0,0.71,0,0,0
25.012,0.93,0.47,1,0.75,1,0.05,1,0.35,1,0.17,0,0.59,1,0.11,0,0.07,0,0,0,0.29,0,0.82,0,0.16,0,0,0,0.79,0,0.99,0,0,0,0,0
25.345,0.98,0.18,1,0.5,1,0.52,1,0.06,0,0.05,0,0.69,1,0,0,0,0,0,0,0,0,0.33,0,0.58,0,0.06,0,0.34,1,0.39,0,0,0,0.13,0
25.679,0.98,0.77,1,0.23,0,0.19,1,0.06,0,0.17,0,1.35,1,0,0,0,0,0,0,0.24,0,0.19,0,0.84,1,0,0,0,1,0,0,0.17,0,0.11,1
26.012,0.98,0.67,0,0,0,0,1,0.03,1,0.37,1,1.72,1,0,0,0,0,0,0,0.2,0,0,0,0.77,1,0,0,0,1,0,0,0.21,0,0.24,0
26.346,0.98,0.7,0,0.17,0,0.03,1,0.21,1,0.25,1,1.37,1,0,0,0,0,0,0,0.29,0,0.11,0,0.89,1,0,0,0,1,0,0,0.29,0,0,0
26.679,0.98,0.58,0,0.08,0,0.01,1,0.21,1,0.49,1,1.52,1,0.04,0,0,0,0,0,0.07,0,0.14,1,0.95,1,0,0,0,1,0,0,0.05,0,0.55,1
27.012,0.98,0.61,0,0.09,0,0.04,1,0.08,1,0.51,1,1.41,1,0,0,0,0,0,0,0.2,0,0.11,0,0.76,1,0,0,0,1,0,0,0,0,0.51,1
27.346,0.88,0.43,0,0.34,0,0.07,1,0.25,1,0.84,1,1.83,1,0.08,0,0,0,0,0,0.23,0,0,0,0.7,0,0.01,0,0,1,0,0,0.25,0,0.6,1
27.679,0.88,0.77,0,0.37,0,0.6,1,0.37,0,0.73,1,1.97,1,0.25,0,0,0,0,0,0.38,0,0,0,0.68,1,0,0,0,1,0,0,0.11,0,0.28,0
28.013,0.88,0.65,0,0.1,0,0.13,0,0.19,0,0.32,0,1.9,1,0.05,0,0,0,0,1,0.18,0,0,1,0.62,1,0,0,0.03,1,0.01,0,0.34,0,0,0
28.346,0.98,0.8,0,0.28,0,0.15,1,0.21,0,0.33,1,1.57,1,0,0,0,0,0,0,0.17,0,0,1,0.8,1,0,0,0,1,0,0,0.07,0,0.04,0
28.68,0.98,0.68,0,0.36,0,0.29,1,0.15,0,0.38,0,1.94,1,0,0,0,0,0,0,0.09,0,0,1,0.84,0,0.07,0,0,1,0,0,0.02,0,0.01,0
29.013,0.98,0.96,1,0.47,0,0.06,1,0.21,1,0.41,0,1.91,1,0.13,0,0,0,0,0,0.2,0,0,1,0.62,0,0,0,0,1,0.1,0,0.13,0,0.14,0
29.347,0.98,0.72,0,0.23,0,0.01,1,0.23,0,0.3,0,1.54,1,0.08,0,0,0,0,0,0.15,0,0,0,0.75,0,0,0,0,1,0,0,0.08,0,0.05,0
29.68,0.98,0.86,0,0.46,0,0.39,1,0.16,0,0.43,0,1.5,1,0.29,0,0,0,0,0,0.2,0,0,0,0.67,0,0,0,0,1,0.01,0,0.02,0,0.05,0
30.014,0.88,0.74,0,0.19,0,0,1,0.04,1,0.6,1,1.55,1,0.03,0,0,0,0,0,0.19,0,0.14,0,0.74,0,0,0,0,1,0,0,0.05,0,0.52,1
30.347,0.88,0.81,1,0.27,0,0.27,1,0.18,1,0.49,1,1.79,1,0.16,0,0,0,0,0,0.07,0,0.03,0,0.66,1,0,0,0,1,0,0,0.04,0,0.19,1
30.681,0.98,0.69,0,0.19,0,0,1,0.05,0,0.41,0,1.45,1,0.07,0,0,0,0,0,0.12,0,0,0,0.65,1,0,0,0,1,0,0,0.06,0,0.5,1
31.014,0.88,0.24,0,0.01,0,0.42,0,0,0,0.35,0,1.97,1,0.03,0,0,0,0,0,0.34,0,0,0,0.37,0,0.03,0,0,0,0.67,1,0.63,0,0.23,0
31.348,0.88,0,0,0.14,0,0.28,0,0.06,0,0.17,0,0.15,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0.5,1,0,0,2.72,1,1.1,1,0.03,0
31.681,0.88,0,0,0.14,0,0.03,0,0,0,0.04,0,0,0,0.04,0,0.02,0,0,1,0,0,0,0,0.08,0,0.37,0,0.01,0,2.76,1,1.15,1,0,0
32.015,0.88,0,0,0.11,0,0.42,1,0,0,0.01,0,0,0,0.23,1,0,0,0,1,0,0,0,0,0.25,0,0.41,1,0.04,0,2.63,1,1.19,1,0,0
32.348,0.88,0,0,0.14,0,0.46,1,0,0,0.15,0,0.04,0,0.05,1,0.01,1,0,1,0.01,0,0,0,0.03,0,0.2,0,0,0,2.71,1,0.92,1,0,0
32.682,0.88,0,0,0.28,0,0.76,1,0,0,0.37,0,0.2,0,0.06,1,0.08,1,0,1,0,0,0,0,0,0,0.09,0,0,0,2.89,1,0.86,1,0,0
33.015,0.88,0,0,0.02,0,0.75,1,0.02,0,0.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,0,1.02,0,0.59,0,3.22,1,2.25,1,0,0
33.349,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.682,0.88,0,0,0.06,0,0.19,1,0,1,0.33,0,0.67,1,0,0,0,0,0,1,0.12,0,0,0,0,0,0.02,0,0.12,0,0.84,1,0.5,0,0.22,0
34.016,0.88,0,0,0.32,0,0.43,0,0,0,0.17,0,1.41,1,0.35,1,0.38,1,0,0,0.24,0,0,0,0.35,0,0,0,0,0,1.32,1,0.87,1,0,0
34.349,0.88,0,0,0.37,0,0.46,0,0,0,0.32,0,1,0,0.07,1,0.41,1,0,0,0.26,0,0,0,0,0,0,0,0,0,1.73,1,1,1,0,0
34.683,0.88,0,0,0.02,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,1,0,0,0,0,0.44,0,0.07,0,0.01,0,1.69,1,1.3,1,0,0
35.016,0.88,0,0,0,0,0.47,0,0,0,0,0,1.29,1,0,0,0,0,0,1,0.07,0,0,0,0.07,0,0.21,0,0,0,1.54,1,0.75,0,0.09,0
35.35,0.88,0.42,0,0,0,0.89,1,0.16,0,0,0,0.77,0,0.66,0,0,0,0,1,0,0,0.01,0,0,0,0,0,0,0,1.38,1,1.53,1,0,0
35.683,0.98,1,1,0,0,0.74,1,0.5,0,0,0,0.09,0,0.47,0,0,0,0,1,0,0,1.91,0,0.23,0,0.12,0,0,0,2.17,0,2.01,0,0,0
36.017,0.98,1.04,1,0,0,0.41,1,0.52,0,0,0,0.1,0,0.47,1,0,0,0,1,0.09,0,2.08,0,0,0,0,0,0.2,0,1.67,0,1.66,0,0,0
36.35,0.98,1.01,1,0.01,0,1.09,1,0.21,0,0,0,0,0,0.6,1,0,0,0.06,1,0,0,1.59,0,0,0,0.01,0,0.16,0,2.24,0,1.32,1,0,0
36.684,0.98,1.11,1,0,0,1.14,1,0.67,0,0,0,0.03,0,0.88,1,0.1,0,0.03,1,0,0,0.61,0,0.27,0,0,0,0,0,2.58,1,1.92,1,0,0
37.017,0.98,1.08,1,0.02,0,1.24,1,0.37,0,0,0,0.02,0,0.68,1,0,0,0.3,1,0,0,1.47,0,0.23,0,0,0,0,0,2.13,1,1.71,1,0,0
37.351,0.98,0.73,1,0,0,1.25,1,0.41,0,0,0,0.16,0,0.74,1,0,0,0,1,0,0,0.84,0,0.35,0,0,0,0.01,0,1.91,1,1.65,1,0,0
37.684,0.98,0.72,1,0.13,0,1.12,1,0.22,0,0,0,0,0,0.53,1,0,0,0.03,1,0,0,1.86,0,0.32,0,0.65,0,0.01,0,2.43,0,0.72,0,0,0
38.018,0.98,1.1,1,0,0,1.29,1,0,0,0,0,0,0,0.77,1,0,0,0.04,1,0,0,2.75,0,0.24,0,0.59,0,0.38,0,2.79,0,0.47,0,0,0
38.351,0.98,0.51,1,0.02,0,0.47,1,0.8,0,0,0,0.15,0,1.12,1,0.5,0,0.46,1,0,0,0.32,0,0,0,0,0,0,0,2.28,1,1.98,1,0.24,0
38.685,0.98,0.61,1,0,0,0,1,0.45,0,0,0,0.41,0,0.25,1,0,0,0.1,1,0.01,0,1.3,0,0,0,0,0,0,0,1.36,0,1.01,0,0,0
39.018,0.98,0.8,1,0,0,0.37,1,0.94,0,0,0,1.07,1,0.09,0,0,0,0,1,0.3,0,0.93,1,0,0,0,0,0,0,0.95,0,1.56,0,0,0
39.352,0.98,0.56,1,0,0,0.56,1,0.86,0,0,0,1.04,1,0.28,0,0,0,0.16,1,0.09,0,1.01,0,0,0,0,0,0,0,1.27,0,1.36,0,0.09,0
39.685,0.98,0.54,1,0,0,0.32,1,0.38,0,0,0,0.44,0,0.66,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,1.2,0,0.94,0,0,0
40.019,0.88,1.09,1,0,0,0.76,1,0.13,0,0,0,0.14,0,1.09,1,0,0,0,1,0,0,1.5,0,0.16,0,0,0,0,0,2.76,1,2.09,1,0,0
40.352,0.98,0.86,1,0,0,0.76,1,0.61,0,0,0,0.17,0,1.43,1,0.09,0,0.01,1,0,0,0.03,0,0.16,0,0,0,0,0,2.59,1,1.81,1,0,0
40.685,0.88,0.58,1,0,0,0.83,1,0.5,0,0,0,0,0,1.2,1,0,0,0,1,0,0,0.07,0,0.35,0,0,0,0,0,2.34,1,1.93,1,0,0
41.019,0.88,0.38,0,0,0,0.6,1,0.07,0,0,0,0,0,1.26,1,0.43,0,0,1,0,0,0,0,0.44,0,1.29,1,0.09,0,2.62,1,2.34,1,0,0
41.352,0.88,0.48,0,0,0,0.83,1,0.2,0,0,0,0,0,1.09,1,0.17,0,0.03,1,0,0,0,0,0.55,0,0.8,1,0.15,0,2.44,1,2.34,1,0,0
41.686,0.88,0.41,0,0,0,1.06,1,0.26,0,0,0,0,0,1.34,1,0.16,0,0.01,1,0,0,0,0,0.14,0,0.1,0,0,0,2.83,1,1.91,1,0,0
42.019,0.88,0.42,1,0.05,0,1.04,1,0.31,0,0,0,0,0,0.94,1,0,0,0,1,0,0,0,0,0.08,0,0.02,0,0,0,2.4,1,1.81,1,0,0
42.353,0.88,0.43,1,0,0,0.97,1,0.25,0,0,0,0,0,1.07,1,0,0,0,1,0,0,0.57,0,0,0,0,0,0,0,2.26,1,1.57,1,0,0
42.686,0.88,0.81,1,0,0,1.14,1,0.2,0,0,0,0.06,0,0.6,1,0,0,0,1,0,0,0.08,0,0.08,0,0.01,0,0.15,0,2.43,1,2.21,1,0,0
43.02,0.98,0.66,0,0,0,0.77,1,0.15,0,0,0,0.69,0,0.21,0,0,0,0,1,0,0,0,0,0,0,0.02,0,0.03,0,2.24,1,1.77,1,0,0
43.353,0.98,0.73,0,0,0,0.59,1,0,0,0,0,0.37,0,0.31,0,0,0,0,1,0,0,0.99,0,0,0,0.08,0,0.01,0,1.74,0,1.69,1,0,0
43.687,0.98,0.89,1,0,0,0.96,1,0.08,0,0,0,0.54,0,0.33,0,0,0,0,1,0,0,0.91,0,0.1,0,0.02,0,0,0,1.39,0,1.64,0,0,0
44.02,0.98,0.75,1,0,0,0.6,1,0.09,0,0,0,0.32,0,0.45,0,0,0,0,1,0,0,0.71,0,0.18,0,0.09,0,0,0,1.55,0,1.52,0,0,0
44.354,0.98,1.04,1,0,0,0.69,1,0.08,0,0,0,0.49,0,0.46,0,0,0,0,1,0.03,0,1.85,0,0,0,0,0,0.16,0,1.54,0,1.37,1,0,0
44.687,0.98,1.04,1,0,0,0.52,1,0,0,0,0,0.61,0,0.16,0,0,0,0,1,0.02,0,0.61,0,0,0,0,0,0.07,0,1,0,1.33,0,0,0
45.021,0.88,1.12,1,0,0,0.27,1,0.6,0,0,0,0.64,0,0.19,0,0,0,0,0,0.35,0,0.24,0,0.03,0,0,0,0.04,0,0.9,0,1.43,0,0,0
45.354,0.98,1.1,1,0,0,0.53,1,0.18,0,0,0,0,0,0.21,0,0,0,0,1,0,0,1.45,0,0,0,0,0,0,0,2.69,1,0.89,0,0,0
45.688,0.98,1.06,1,0.11,0,0.44,1,0.22,0,0,0,0.07,0,0.16,1,0,0,0,1,0,0,1.94,0,0,0,0,0,0,0,2.47,1,0.78,0,0,0
46.021,0.98,0.31,0,0,0,0.34,1,0.42,1,0,0,0.43,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,0,2.21,0,1.4,0,0,0
46.355,0.98,0.16,0,0,0,0.65,1,0.4,0,0,0,0.46,0,0.36,0,0.05,0,0.11,1,0,0,0,0,0,0,0.81,0,0.25,0,1.95,1,2.38,1,0,0
46.688,0.98,0.06,0,0,0,0.5,1,0.51,1,0,0,0.8,1,0.66,1,0.18,0,0.64,1,0,0,0,0,0.18,0,1.16,0,0.2,0,1.69,1,2.1,1,0,0
47.022,0.98,0.31,0,0,0,0.34,1,0.32,1,0,0,1.02,1,0.2,1,0.08,0,0.48,1,0,0,0,0,0.02,0,0.42,0,0.01,0,1.62,1,1.89,1,0,0
47.355,0.88,0.18,0,0,0,0.14,1,0.04,0,0,0,1.2,1,0.01,0,0,0,0.16,1,0,0,0,0,0,0,0.03,0,0,0,0.99,0,1.38,0,0,0
47.689,0.88,0.16,0,0,0,0.82,1,0.06,0,0,0,0.89,1,0.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.14,0,1.29,0,0,0
48.022,0.88,0.47,0,0,0,0.46,1,0.01,0,0,0,0.02,0,0.92,1,0,0,0,1,0,0,1.06,0,0,0,0,0,0,0,2.2,1,1.71,1,0,0
48.356,0.88,0.03,0,0,0,0.76,1,0,0,0,0,0.26,0,0.44,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0,0,1.71,1,1.64,0,0.02,0
